,Nombre,Anyo Nacimiento,Conocido Por,Que hace,Premios ganados
27,Philippe Rivière,No info,"['Au bord du gouffre', 'No info', 'No info']",['Reparto'],No ha ganado premios
28,Leire Altamira,No info,"['E-mocion', 'No info', 'No info']",['Reparto'],No ha ganado premios
29,Maite Ezcurra,No info,"['David Bisbal: Ajedrez', 'E-mocion', 'No info']",['Reparto'],No ha ganado premios
30,Lydia Martínez,No info,"['E-mocion', 'No info', 'No info']",['Reparto'],No ha ganado premios
31,Estelle Chen,No info,"['Lian hua lou', 'Fairyland Lovers', 'Qie Ting Feng Ming']",['Reparto'],no info
32,Maite Ezcurra,No info,"['David Bisbal: Ajedrez', 'E-mocion', 'No info']",['Reparto'],No ha ganado premios
33,Lydia Martínez,No info,"['E-mocion', 'No info', 'No info']",['Reparto'],No ha ganado premios
34,Chakradhar Dittakavi,No info,"['Ee Shruthi Lo', 'No info', 'No info']",['Reparto'],No ha ganado premios
35,Venkatesh Kanupuru,No info,"['Ee Shruthi Lo', 'Nindu Chandrudu', 'No info']",['Reparto'],No ha ganado premios
36,Olga Mandrikova Lanceray,No info,"['Region', 'Aquarius', 'Black Square']","['Producción', 'Reparto']",No ha ganado premios
37,Leo Willems,No info,"['Trollie', 'Trollie: The Great Rescue', 'No info']",['Reparto'],No ha ganado premios
38,Pauline Bas,No info,"['Trollie', 'COCON', 'De vloer op jr.']",['Reparto'],No ha ganado premios
39,Kees Boot,1970,"['Overspel (TV Series) (Serie de TV)', 'De afdeling', 'Floor Faber']",['Reparto'],no info
40,Parry Glasspool,1992,"['The Batman', 'Hollyoaks', 'Hollyoaks Later']",['Reparto'],no info
